,고유번호,법정동코드,지목,토지면적,geometry,주소,공시지가
0,4418025023107940004,4418025023,전,77.0,"POLYGON ((165444.01484912797 406853.38553168497, 165433.02794458612 406852.22737599653, 165421.69104179 406851.11921472754, 165422.13903606383 406851.2892201948, 165444.48675435298 406859.5104947819, 165444.01484912797 406853.38553168497))",충청남도 보령시 웅천읍 수부리 794-4,23900
1,4418035023103150004,4418035023,전,274.0,"POLYGON ((169768.07070799381 422733.9706069558, 169766.29280980106 422728.0656231538, 169765.91686506587 422724.5776428798, 169767.44799366692 422715.3087334235, 169768.87407838175 422709.0028008145, 169759.5471103112 422711.3526431676, 169756.68393038012 422724.6665031095, 169759.3207030908 422738.4884422244, 169768.69963464254 422738.5375831886, 169768.07070799381 422733.9706069558))",충청남도 보령시 청라면 내현리 315-4,13100
2,4423034033100430010,4423034033,답,1329.0,"POLYGON ((214323.08718311513 406380.175415892, 214350.29118643134 406367.91091706464, 214352.56121477467 406365.05697142374, 214347.12530929432 406361.2999138005, 214321.50655252457 406356.7825518898, 214244.63395320578 406429.9198720915, 214245.0229440931 406430.3418751654, 214257.1250046431 406421.03212452075, 214323.08718311513 406380.175415892))",충청남도 논산시 상월면 숙진리 43-10,18300
3,4480025321101860002,4480025321,전,1515.0,"POLYGON ((166063.55512473104 435161.417428017, 166066.4750789068 435163.02946022386, 166077.15498013355 435164.37261175236, 166092.47791907552 435160.964868675, 166113.75786665612 435154.09124134167, 166119.12779070836 435156.50530465227, 166120.17884005647 435152.7303485069, 166137.21674976384 435150.42362320726, 166135.48591053943 435140.63066957355, 166130.49594139485 435141.0145912812, 166122.1599929436 435141.655460497, 166120.43597579678 435143.6274198217, 166119.55196703455 435144.63639898377, 166103.69907807792 435144.99515663134, 166100.2862952465 435132.2891991483, 166091.64133900142 435133.5960587583, 166079.32642175234 435134.1068687785, 166071.68345917444 435135.34574404516, 166065.66349070537 435136.18564680434, 166057.15146936954 435141.7334770102, 166063.55512473104 435161.417428017))",충청남도 홍성군 광천읍 신진리 186-2,60500
4,4471031024100860001,4471031024,답,1637.0,"POLYGON ((240341.91291475706 392757.75161459396, 240324.47381023347 392707.19267675583, 240295.8658448562 392716.9931698953, 240314.63492477845 392768.5831215209, 240314.6929247556 392768.5601225697, 240341.91291475706 392757.75161459396))",충청남도 금산군 금성면 상가리 86-1,23600
5,4421025025105950000,4421025025,전,684.0,"POLYGON ((145529.3799732161 486055.4300342526, 145535.65791196987 486056.1911241715, 145541.471884755 486054.9662228143, 145544.30688413815 486053.5412775041, 145547.0929451665 486048.10936335986, 145547.17503356715 486042.28441100486, 145547.18604511447 486041.5234172351, 145544.24316232692 486035.3774211849, 145539.69427335114 486030.46639075154, 145539.0613666833 486024.6884270896, 145541.62251627477 486013.5795547157, 145542.52757455382 486009.29960263544, 145543.5437494397 485997.3347134556, 145543.70877150795 485995.80572815513, 145544.1018850898 485988.1727949506, 145544.35395724262 485983.3228374246, 145542.9500747963 485976.3588714212, 145539.00117648917 485971.7478477681, 145538.23709273 485977.62178931036, 145538.70996336231 485985.839731096, 145539.14286749944 485991.8866895601, 145539.269833537 485994.0426743313, 145539.08675859147 485999.03963173786, 145537.13064680836 486007.36253555317, 145533.40241956385 486024.1543448275, 145530.4772202457 486038.70418423344, 145528.842055342 486050.3360665945, 145529.3799732161 486055.4300342526))",충청남도 서산시 대산읍 기은리 595,43800
6,4418025029100390001,4418025029,답,1302.0,"POLYGON ((159152.65727765753 403655.0188282688, 159159.22524364447 403654.1559320253, 159169.7472498142 403648.68912760844, 159176.85338765947 403635.9963244125, 159176.46572186242 403613.6794791027, 159170.07277425897 403613.2203874516, 159166.4387992157 403613.2843330195, 159154.43388002523 403613.60615240666, 159150.50893689512 403611.66110809805, 159147.36777590707 403624.0089726661, 159142.4127030024 403631.2968466716, 159137.4516666603 403636.1257382714, 159130.58363350306 403641.65559650527, 159152.65727765753 403655.0188282688))",충청남도 보령시 웅천읍 독산리 39-1,13300
7,4477041026105740003,4477041026,답,2618.0,"POLYGON ((159094.91869583057 395154.0967911129, 159136.84913750255 395104.2377664075, 159126.87928628325 395098.9376566281, 159103.20962836454 395087.1073906373, 159053.06904377477 395150.54619721463, 159094.91869583057 395154.0967911129))",충청남도 서천군 서면 신합리 574-3,13800
8,4418035022103430000,4418035022,답,344.0,"POLYGON ((171846.8539751024 422186.3139263629, 171852.74290598795 422188.0850023164, 171854.91109649875 422174.417134261, 171857.82320861428 422165.59224225953, 171862.5483579984 422153.43040182866, 171847.93945646996 422153.87617826514, 171848.31832884368 422162.1581238435, 171844.23414643272 422176.2039602599, 171844.32700476 422185.5538937688, 171846.8539751024 422186.3139263629))",충청남도 보령시 청라면 소양리 343,12200
9,4421010600108550006,4421010600,답,433.0,"POLYGON ((153770.39775885077 463234.7736656772, 153789.39860062837 463235.60694813496, 153796.53929446332 463252.14692898665, 153797.9316244758 463229.739123187, 153791.98764496943 463231.38602009823, 153787.1337416112 463227.47497649596, 153781.31194760624 463216.8589699544, 153779.59005074055 463210.9429894583, 153778.30704903108 463211.7019640899, 153773.54997544416 463218.93883588084, 153770.32788180505 463226.72172679234, 153770.39775885077 463234.7736656772))",충청남도 서산시 수석동 855-6,191200
