,주소,토지이용상황,공시지가
1389771,충청남도 태안군 소원면 시목리 437-1,전,19200
708217,충청남도 당진시 석문면 초락도리 1430,답,15600
256514,충청남도 보령시 청라면 소양리 343,답,12200
218452,충청남도 보령시 웅천읍 두룡리 199,전,13800
1320097,충청남도 예산군 오가면 분천리 25-1,답,18500
1095287,충청남도 청양군 남양면 대봉리 44-1,답,24200
593441,충청남도 논산시 연산면 신암리 30,답,38300
409460,충청남도 서산시 양대동 667-5,전,58600
853163,충청남도 금산군 복수면 구례리 381,과수원,36400
255127,충청남도 보령시 청소면 장곡리 1125-4,답,14500
1075609,충청남도 청양군 정산면 학암리 331-2,전,18600
748653,충청남도 당진시 우강면 공포리 64-1,답,17600
1330123,충청남도 태안군 태안읍 송암리 651-4,전,22000
93280,충청남도 천안시 서북구 입장면 신두리 91-43,과수원,52000
720123,충청남도 당진시 정미면 도산리 251-2,전,19700
343395,충청남도 아산시 둔포면 시포리 519,답,38900
963100,충청남도 부여군 초촌면 신암리 491-2,전,8600
958613,충청남도 부여군 석성면 봉정리 803-9,전,16500
932255,충청남도 부여군 양화면 초왕리 515-10,답,12600
1302906,충청남도 예산군 고덕면 용리 1335-7,답,15700
159166,충청남도 공주시 의당면 월곡리 495-1,전,28600
385660,충청남도 아산시 도고면 농은리 317,답,19900
342548,충청남도 아산시 둔포면 둔포리 346-10,전,163700
304304,충청남도 아산시 배미동 216,답,101300
926855,충청남도 부여군 충화면 팔충리 600-1,전,6600
64281,충청남도 천안시 서북구 성환읍 매주리 370-50,과수원,63400
1123127,충청남도 홍성군 광천읍 광천리 460-1,답,21800
401773,충청남도 서산시 잠홍동 8-2,답,37900
1418621,충청남도 태안군 이원면 포지리 827-3,답,9230
165232,충청남도 공주시 의당면 요룡리 55,전,40400
1324256,충청남도 예산군 오가면 신원리 596-4,답,16700
1354881,충청남도 태안군 안면읍 창기리 1464-4,전,22600
1296525,충청남도 예산군 고덕면 호음리 469-1,답,17400
1007315,충청남도 서천군 한산면 종지리 193,전,22700
873587,충청남도 부여군 규암면 반산리 90-3,답,25600
68343,충청남도 천안시 서북구 성환읍 송덕리 154-1,답,65300
832038,충청남도 금산군 남이면 상금리 39,답,12900
166923,충청남도 공주시 정안면 평정리 448-2,답,18800
1420830,충청남도 천안시 서북구 성성동 247,과수원,635000
637778,충청남도 논산시 채운면 야화리 577,답,15300
725969,충청남도 당진시 정미면 모평리 203-2,답,19700
121901,충청남도 공주시 이인면 만수리 123-1,전,45500
6922,충청남도 천안시 동남구 목천읍 동리 214-5,답,25900
704945,충청남도 당진시 석문면 교로리 1987,답,16100
275598,충청남도 보령시 남포면 월전리 807-7,답,14300
366469,충청남도 아산시 인주면 문방리 339-1,전,37700
646073,충청남도 당진시 시곡동 451-1,답,57300
1022278,충청남도 서천군 문산면 문장리 80-1,답,15100
429564,충청남도 서산시 인지면 모월리 211-2,전,22400
895561,충청남도 부여군 외산면 만수리 29-2,전,31100
1023543,충청남도 서천군 문산면 금복리 153-1,전,9680
107218,충청남도 공주시 검상동 489,답,40700
855378,충청남도 금산군 추부면 용지리 411-2,전,12100
1089146,충청남도 청양군 장평면 지천리 72-2,전,26800
