,고유번호,법정동코드,지목,토지면적,geometry,주소,공시지가,위도,경도
0,4413135026104310003,4413135026,답,2978.0,"POLYGON ((226161.13411533408 460656.7895716499, 226191.09491050983 460656.1630491072, 226189.03349123278 460556.94373352546, 226159.2506948257 460557.5662589251, 226161.13411533408 460656.7895716499))",충청남도 천안시 동남구 수신면 장산리 431-3,34600,36.743646,127.293085
1,4415033033102740003,4415033033,답,1816.0,"POLYGON ((211400.34097634573 415643.4006434138, 211423.95275943505 415646.9329817974, 211436.1968214195 415572.34468810866, 211412.2980424275 415568.6733462857, 211400.34097634573 415643.4006434138))",충청남도 공주시 계룡면 상성리 274-3,21400,36.3384482,127.127191
2,4415036034103070001,4415036034,답,4704.0,"POLYGON ((216105.43814517817 440468.079779587, 216106.02814007417 440468.1397883439, 216107.61814923637 440466.8298224361, 216113.5781328209 440465.17992699175, 216119.68816610283 440460.27005710674, 216125.01825627245 440452.0601985853, 216127.6483155364 440447.060275156, 216132.59848218397 440434.1104444814, 216146.15854473505 440423.9407280674, 216152.69851426175 440422.93083709537, 216161.59852036656 440418.50100723223, 216173.52847719766 440415.86121179565, 216181.21843658073 440414.9813378067, 216194.20834622698 440414.8915407126, 216194.37839500268 440411.68156622536, 216197.95846499933 440405.56166556134, 216199.92858030932 440397.2617553579, 216200.5686193812 440394.4617852685, 216194.95872330683 440390.33172733313, 216193.55871061946 440391.78169520583, 216191.4687344136 440391.20166679256, 216185.20886954857 440385.3616109153, 216182.24908397725 440372.9316533656, 216178.4191222406 440372.21159885824, 216169.66922249622 440369.74148021085, 216162.90931181368 440367.07139397087, 216161.36934650972 440365.54138089257, 216151.7995034677 440359.8012727682, 216141.11963604053 440356.1311326202, 216136.59968337978 440355.14106929436, 216133.1196438187 440359.2609857635, 216129.37962290453 440362.3009058754, 216124.6596509529 440362.6408299635, 216120.34969633946 440361.6807696959, 216120.0896578583 440364.270747197, 216121.67957205581 440369.06073783326, 216123.11942021013 440378.1606954336, 216122.57930056745 440386.0906305384, 216118.79910261757 440400.5204688921, 216117.9589534866 440410.48038486426, 216116.14880513973 440420.83028295066, 216114.06858521327 440435.90014320787, 216110.33831062017 440455.2299474273, 216105.51816454026 440466.7997899497, 216105.43814517817 440468.079779587))",충청남도 공주시 의당면 중흥리 307-1,25500,36.5618237,127.1803854
3,4415038026101770000,4415038026,답,1390.0,"POLYGON ((208622.89635292656 431605.931739868, 208624.29730272954 431608.54274297913, 208624.0752284995 431613.4487047228, 208624.97018285203 431615.99570047087, 208636.1949838429 431623.76281877, 208648.16573352818 431634.51092743455, 208651.1213151855 431595.5152499138, 208651.01536555248 431592.30327107676, 208649.42312528248 431543.8525903847, 208647.7631262449 431544.54655981075, 208636.20276071047 431573.4741758624, 208622.89635292656 431605.931739868))",충청남도 공주시 우성면 도천리 177,30800,36.4825563,127.0964167
4,4415038028100680001,4415038028,답,2985.0,"POLYGON ((208044.9870083171 433315.5566574207, 208114.88760659244 433244.9332404613, 208093.7200809462 433223.9050628999, 208023.1594824508 433294.8454674287, 208044.9870083171 433315.5566574207))",충청남도 공주시 우성면 내산리 68-1,31400,36.4976537,127.090067
5,4418010200105390002,4418010200,답,2912.0,"POLYGON ((164690.79277649723 418381.63795964594, 164688.8887881362 418381.7779300739, 164687.4518211052 418380.2709194935, 164684.93889142407 418376.79090712895, 164680.04498580977 418372.85186240054, 164671.6351461145 418366.20878462, 164649.25756784924 418348.85357532516, 164642.48669345726 418343.73551103077, 164629.5089288608 418334.2823852027, 164628.10696686813 418332.4223777149, 164624.28294564196 418335.6782966784, 164620.94892278413 418338.80722391035, 164618.885903949 418341.05617661023, 164614.9368679268 418345.35908607824, 164610.93576975117 418353.83196441946, 164611.13963637268 418362.6289034588, 164609.5265963987 418366.0708542213, 164618.47743455716 418372.555941259, 164625.14831995693 418376.98800904176, 164640.3830566804 418387.2131631001, 164657.14577490662 418397.936336449, 164674.48448917206 418408.64651853556, 164690.79277649723 418381.63795964594))",충청남도 보령시 죽정동 539-2,49400,36.3627868,126.6060958
6,4418032023102280004,4418032023,전,565.0,"POLYGON ((159917.22846143087 426047.0631980577, 159921.24744094248 426046.47026274604, 159928.78648233932 426040.0384233102, 159937.06546373176 426037.24456815823, 159944.6182169586 426050.0085874089, 159951.17722419588 426046.33071296144, 159952.6161839579 426048.31071996037, 159954.05617644632 426048.10974305467, 159959.46620249833 426043.7378564804, 159958.93724196314 426041.36586602766, 159955.48725059282 426042.4718060958, 159950.8613963372 426035.0137916525, 159945.95449434343 426030.87374853046, 159938.5586096657 426026.79266762175, 159927.59168035706 426027.4254983658, 159920.29371155464 426028.90237795166, 159915.94262436632 426036.832254185, 159917.22846143087 426047.0631980577))",충청남도 보령시 오천면 교성리 228-4,11300,36.4316675,126.5532148
7,4418034021112710000,4418034021,답,1835.0,"POLYGON ((163124.8524947528 427878.6639020259, 163142.2094675109 427872.04621194355, 163107.14310503722 427780.2343606163, 163089.70613378854 427786.7900499728, 163124.8524947528 427878.6639020259))",충청남도 보령시 청소면 진죽리 1271,14900,36.4479296,126.5885604
8,4420037027101820000,4420037027,답,3944.0,"POLYGON ((196053.47541121644 476465.8187095803, 196150.66090721826 476451.4933377, 196144.70857132412 476411.877543762, 196046.97508196608 476426.0389083417, 196053.47541121644 476465.8187095803))",충청남도 아산시 영인면 와우리 182,23500,36.8867005,126.9562331
9,4421032022101510002,4421032022,답,2199.5,"POLYGON ((144172.89396486647 461026.74229412375, 144195.76456990495 460975.03504134016, 144188.9046770071 460971.4449655679, 144179.35490697692 460961.09490166296, 144134.29478386368 460992.2239790108, 144147.58435556115 461013.79301227396, 144157.19414129088 461023.07308539515, 144163.25404729843 461026.2031526475, 144172.89396486647 461026.74229412375))",충청남도 서산시 부석면 강수리 151-2,13500,36.745899,126.3748104
