,Unnamed: 0,고유번호,건물식별번호,허가일자,사용승인일자,geometry,주소
169619,169619,4421033023104140004,24991,,1996-11-19,"POLYGON ((143990.26256862615 470525.074371006, 143975.46279003483 470518.0752013846, 143971.99270599653 470525.39509129483, 143986.80248435738 470532.4042609903, 143990.26256862615 470525.074371006))",충청남도 서산시 팔봉면 대황리 414-4
173698,173698,4421038026106970007,31277,,2000-07-21,"POLYGON ((168972.6431040767 461731.3882038918, 168964.0503090478 461722.24114185135, 168957.4102762041 461727.6569989217, 168958.64324373714 461729.16900630493, 168957.35223337077 461730.48197653703, 168961.19414298952 461734.48900490487, 168959.88013360725 461735.7489751867, 168963.46205013778 461739.4330020297, 168972.6431040767 461731.3882038918))",충청남도 서산시 운산면 와우리 697-7
46693,46693,4413331034101610001,36239,1993-03-26,1993-08-20,"POLYGON ((215648.64390159238 482010.48460373783, 215646.63393349503 482009.4105799227, 215647.1439522059 482007.9905986077, 215639.77405211295 482005.130503241, 215637.4829946746 482009.8294318546, 215636.86200366306 482009.5524240874, 215634.47395281697 482013.8803539365, 215646.0637765017 482019.59049485484, 215647.8578236383 482015.7745517731, 215647.03383851715 482015.2205428603, 215648.64390159238 482010.48460373783))",충청남도 천안시 서북구 입장면 산정리 161-1
192910,192910,4423025029100160023,15531,1991-08-05,1991-11-27,"POLYGON ((201226.17800042062 395296.54765242955, 201220.9980975206 395292.4576019285, 201209.5180361468 395301.64836510306, 201213.22794810892 395305.7983929189, 201226.17800042062 395296.54765242955))",충청남도 논산시 강경읍 대흥리 16-23
261330,261330,4471032029104650002,15439,,,"POLYGON ((249943.33575424904 391984.5984047436, 249938.72561968648 391995.1682644051, 249944.38555199615 391997.1783393128, 249948.59568727599 391986.72847265465, 249943.33575424904 391984.5984047436))",충청남도 금산군 제원면 대산리 465-2
74197,74197,4415033025100200000,22634,,2003-12-19,"POLYGON ((217767.92816508038 423288.142649298, 217764.33234689964 423277.9966643737, 217753.42736334555 423281.8044691004, 217757.4791760817 423292.0984600495, 217767.92816508038 423288.142649298))",충청남도 공주시 계룡면 내흥리 20
350239,350239,4480025024107680002,100251886,2018-09-14,2018-11-22,"POLYGON ((167472.01666417794 444008.6169503988, 167489.96554751083 444007.54023108864, 167489.53265664604 444000.5662766201, 167471.52677386976 444001.63399513625, 167472.01666417794 444008.6169503988))",충청남도 홍성군 홍성읍 월산리 768-2
272558,272558,4471038022101430002,30996,,,"POLYGON ((238114.12092183167 395703.4456346814, 238118.260955808 395699.49572480377, 238109.62016795142 395689.4356576166, 238105.10014852718 395692.6055667694, 238114.12092183167 395703.4456346814))",충청남도 금산군 복수면 다복리 143-2
32236,32236,4413110400102610012,55101,1980-04-04,1981-12-14,"POLYGON ((213221.26919765756 466785.2750546071, 213216.6793550078 466777.39504046715, 213201.70930573085 466787.4847309069, 213206.42915073293 466795.15474863397, 213221.26919765756 466785.2750546071))",충청남도 천안시 동남구 사직동 261-12
408213,408213,4482531021103580020,10745,1953-04-01,1953-04-01,"POLYGON ((144343.04797993886 426528.6298728534, 144335.8279202727 426536.23970848497, 144340.0978195469 426540.87973731646, 144347.68787765896 426533.1899077903, 144343.04797993886 426528.6298728534))",충청남도 태안군 고남면 장곡리 358-20
100919,100919,4418010100101060004,1163,,,"POLYGON ((163965.045168928 417170.25589257036, 163966.12617409285 417169.39091505506, 163970.6110602792 417174.8289427076, 163969.53205501227 417175.6999202094, 163971.75299830612 417178.41593373707, 163974.86201389306 417175.8789987642, 163973.6380451933 417174.37899133237, 163976.8200605265 417171.8240575857, 163975.89008431186 417170.68405194127, 163976.24808635795 417170.3750595539, 163971.7142021268 417164.83003194263, 163972.0872040968 417164.51903979416, 163970.09925530068 417162.0580279029, 163964.31822555978 417166.8259066187, 163964.02023302566 417166.4709047356, 163962.7722267742 417167.4888786337, 163965.045168928 417170.25589257036))",충청남도 보령시 대천동 106-4
203784,203784,4423034033100920005,31786,,,"POLYGON ((213810.07406391218 406289.0921743396, 213795.88322212102 406285.05998442945, 213793.30212433217 406292.5838933028, 213792.46513461694 406292.2838825296, 213790.77107216872 406297.1088234958, 213791.73805980582 406297.4868357303, 213791.24404438585 406298.71181976167, 213805.6348720634 406303.5760070353, 213810.07406391218 406289.0921743396))",충청남도 논산시 상월면 숙진리 92-5
207371,207371,4423036035105470010,36927,,,"POLYGON ((215886.7538224769 405125.42797984544, 215903.2197958156 405119.8982701912, 215900.98691285084 405113.25328131864, 215884.52093951392 405118.78299097414, 215886.7538224769 405125.42797984544))",충청남도 논산시 연산면 백석리 547-10
143462,143462,4420010100102260013,4101,,,"POLYGON ((200114.43245545216 465040.54882910574, 200110.87259182066 465033.4888260263, 200105.7226052979 465035.0587340166, 200111.63221839204 465057.0686626657, 200114.15220465386 465056.75870428316, 200114.43245545216 465040.54882910574))",충청남도 아산시 온천동 226-13
148539,148539,4420011200104580000,9503,,1984-11-01,"POLYGON ((199348.04709043592 463193.9835009816, 199344.82209378475 463195.2924410206, 199342.65309596565 463196.1774006629, 199347.78386861202 463208.34739027877, 199355.0058628371 463205.3055253691, 199350.23808818994 463193.09254172666, 199348.04709043592 463193.9835009816))",충청남도 아산시 용화동 458
5971,5971,4413125024100430006,100310457,2015-09-15,2016-08-01,"POLYGON ((221581.78302340274 467315.0648775127, 221586.7259680792 467316.2989465387, 221586.53695749768 467317.0559380207, 221588.476935772 467317.54096510686, 221588.66594635672 467316.78397362353, 221595.2588725596 467318.4300656927, 221596.34693344386 467314.0741147201, 221592.95097145686 467313.2260672975, 221593.50800264045 467310.9950924063, 221586.9210763897 467309.34900043096, 221586.80707001573 467309.8049952967, 221587.0690670754 467309.8709989532, 221586.8430544736 467310.7729887889, 221583.35109355956 467309.90094002604, 221583.39909627734 467309.706942203, 221583.13709921937 467309.64093854686, 221581.78302340274 467315.0648775127))",충청남도 천안시 동남구 목천읍 서흥리 43-6
382246,382246,4481025024102600005,17416,1988-03-11,1988-09-07,"POLYGON ((185021.63959419 453890.6057431888, 185019.40917914297 453853.69498333614, 185014.0692182289 453853.71490093746, 185015.99964026874 453890.3156584721, 185021.63959419 453890.6057431888))",충청남도 예산군 예산읍 주교리 260-5
378078,378078,4481039024102950000,11278,,,"POLYGON ((183590.6681895825 462980.22263803956, 183594.11813263362 462982.2426761403, 183596.44818445062 462977.762745838, 183604.4480742437 462981.0328448219, 183605.67813303106 462976.63289692486, 183594.0382878524 462972.23275020765, 183590.6681895825 462980.22263803956))",충청남도 예산군 신암면 신종리 295
236300,236300,4427031026103410000,20731,,,"POLYGON ((157667.5904881762 485978.1548155473, 157669.46949645513 485976.6618562329, 157668.17553364605 485974.90285018296, 157666.0475898037 485972.33483767405, 157657.97154290625 485979.4876570073, 157658.52748956767 485982.6706404742, 157661.26042491512 485985.48266037094, 157662.5414330243 485984.30468937056, 157666.38334063563 485988.3557165674, 157671.90937940215 485983.0278436083, 157672.79435253725 485984.3238470139, 157678.46337836987 485979.76397019956, 157671.47656913535 485970.91893238394, 157667.6185496488 485974.1458475777, 157668.17553364605 485974.90285018296, 157669.5684968802 485976.5838583703, 157669.46949645513 485976.6618562329, 157671.07145040837 485978.83986372227, 157669.17644168093 485980.3698224983, 157667.5904881762 485978.1548155473))",충청남도 당진시 고대면 당진포리 341
